syscheck.event,syscheck.path,syscheck.attrs_after,syscheck.changed_attributes,syscheck.size_before,syscheck.size_after,syscheck.mtime_before,syscheck.mtime_after,syscheck.md5_before,syscheck.md5_after,syscheck.uid_after,syscheck.uname_after,syscheck.arch,agent.name,@timestamp
added,C:\Users\User1\Downloads\trade.xlsx,"read,system,archive,exec","size,owner",46753,1,"May 12, 2025 @ 01:55:12","May 12, 2025 @ 02:06:14",627f59dd484237f42eae68c679afe678,8b4b22c94dd5c0300cc151703cab38567941bc3ff43b8992adea25e2cdfe6f93,6460,User1,AMD64,DESKTOP-5JEIKFF,"May 02, 2025 @ 14:17:50.000"
added,C:\Users\Guest\Documents\another.dll,"system,write,hidden",mode,1656786,1352847,"May 23, 2025 @ 05:22:47","May 23, 2025 @ 05:50:53",73e2f49029a0fbb8320accacaf37dfe7b968497f9494581edd8ea182b00d71c9,bb940291db61005023833a95fee43c10,2587,Admin,x86,SERVER-001,"May 21, 2025 @ 08:02:01.842"
deleted,E:\Data\particularly.zip,"system,archive,write","size,owner",709508,593046,"May 17, 2025 @ 03:29:34","May 17, 2025 @ 04:11:59",6749c4884f3ccd44f8775cdc17117437,60c28b2d01d9f605dc8dc263b7c53875,1955,User1,AMD64,PC-GAMER,"May 08, 2025 @ 07:29:28.966"
deleted,C:\Users\User2\Desktop\operation.csv,"exec,write","mtime,owner",1824908,1531363,"May 07, 2025 @ 21:31:35","May 07, 2025 @ 21:48:07",e8d8e96fdbf8a45716701597ee0c0fe99508570203d9a955d3fabf88eced1760,ebdcbe29cbb6e9c96e2ea8b754563b5d3aabb299f22c4eba89a341075373828c,5912,User5,x86,HOME-PC,"May 11, 2025 @ 07:28:23.668"
added,C:\Users\User1\Downloads\where.exe,"write,exec,system","owner,mtime",1961970,1926011,"May 28, 2025 @ 06:09:05","May 28, 2025 @ 06:44:55",a2bececdd1d8ca98c112cf7905bf981c,e9d29c59d2b5b870348613a996acfcf680d9a8f1d82f5e3dcd1e445e73d01861,3380,Guest,x86,WIN-LAPTOP,"May 15, 2025 @ 21:14:22.710"
modified,C:\Windows\Temp\though.exe,"archive,system,read,exec","group,mode",1495732,1861767,"May 22, 2025 @ 18:41:28","May 22, 2025 @ 19:30:06",8d524625ae3c67400a6c5637a98551e0fe5a910641f38b583d7087fb947fd018,e97921586876d9ef7a44d8b8ef5ffd463220fe8349746ab8f10feaa0f3941cb2,8947,User4,AMD64,PC-GAMER,"May 28, 2025 @ 09:09:37.596"
modified,C:\Users\Guest\Documents\general.bat,"exec,archive",size,1139149,991892,"May 29, 2025 @ 19:43:09","May 29, 2025 @ 20:18:25",bc968ae6378297eaae807537256eb5d06d1f3c840140f910b20915931fdba39e,945c6a3c8edda0cd6e75079dcfbfd0bc2aee7f699bb2d0317543e6fac58a6a21,3652,User2,arm64,SERVER-BETA,"May 12, 2025 @ 15:53:39.276"
modified,C:\Users\User1\Downloads\member.jpg,"hidden,exec,write,read","owner,group",1180688,1577286,"May 19, 2025 @ 07:56:11","May 19, 2025 @ 08:15:41",13a927c086aee7b950c0f7ea86b87e5934e48f52a3bd222334182488f2ccd12c,4ec8dd82ce20c73f38937658a0245278,4743,User6,x86_64,SERVER-001,"May 14, 2025 @ 10:00:55.666"
added,D:\Work\collection.txt,"hidden,read,system","size,mode",479222,717701,"May 06, 2025 @ 06:16:52","May 06, 2025 @ 06:27:31",cfe10bc35b37c462d6db2bfd78e9670ffac0ea4d6cba870bc8658cd6d88aa2a1,eff6572f5e26fc17c0023eb4bf233ea4,3810,Guest,AMD64,LAPTOP-1234,"May 04, 2025 @ 08:18:51.980"
modified,C:\ProgramData\truth.txt,"system,write","mtime,size",1433364,955858,"May 20, 2025 @ 06:10:35","May 20, 2025 @ 06:45:58",0070daae9cc7fd3e896b9ef7264f5992,08a362857512ff109dd3041a6412db38,6700,Project,x86_64,DESKTOP-5JEIKFF,"May 02, 2025 @ 16:37:40.769"
modified,C:\Users\User2\Desktop\think.zip,"exec,read","mtime,size",1364773,1455393,"May 29, 2025 @ 16:42:05","May 29, 2025 @ 17:26:47",ee29267a79d3b375891c679a062510b09beab55e720c21c3e74554dc0e6796a8,ab213b3e6a93cf898c65253afee290d4,7750,User4,x86_64,PC-GAMER,"May 30, 2025 @ 17:01:24.264"
added,C:\Windows\Temp\general.exe,"hidden,read,exec,archive",group,806496,874100,"May 06, 2025 @ 07:19:19","May 06, 2025 @ 07:40:18",2e6a9671097fea912e7ea2876e53c7cff3888e5b781be2f29ddecf9ee2e3a5b9,07462bc6b8fd0d08d784739586b44fc613e75cda7c603c97cc469401f4b24608,3928,User3,arm64,LAPTOP-1234,"May 25, 2025 @ 18:48:22.683"
modified,C:\Users\Guest\Documents\door.exe,"system,hidden,write","mode,mtime",464443,622831,"May 18, 2025 @ 19:23:46","May 18, 2025 @ 19:35:16",897dda466a66c736cd6411e650ea220a,eb141ed988701dedd89b59926da0e0e8372e21e39401308f9a3cfd8c5a138bb7,1499,User5,x86_64,WIN-LAPTOP,"May 30, 2025 @ 17:16:49.054"
deleted,C:\Users\User2\Desktop\deep.zip,"read,archive,hidden",owner,1608388,1241254,"May 03, 2025 @ 07:03:03","May 03, 2025 @ 07:03:58",f9c405aeaf109ccd9c5d0d7442b3ecdf19ca905e60521ae12eec68d10aeb64fe,7a5c1f8783e78de18ca68645ce6b2b2baaaab04ed23ef9a67ab1c5fef73df8eb,1492,Guest,x86_64,LAPTOP-1234,"May 30, 2025 @ 03:59:07.227"
deleted,E:\Data\American.pptx,"write,read","group,mtime",1753457,1770470,"May 23, 2025 @ 21:57:48","May 23, 2025 @ 22:49:30",b5b9c0f94493a34dcc97ed7f228c2f27232ef0343316a960d112512f8f8df1ef,e8e9d001976101042908aea5496618585969ce885f6ec20331c1ced959e708dc,2070,Guest,x86_64,DESKTOP-XYZ,"May 22, 2025 @ 09:33:04.610"
deleted,C:\Windows\System32\expect.dll,"read,write,system,archive","mode,mtime",1396239,1761989,"May 09, 2025 @ 15:34:54","May 09, 2025 @ 16:03:52",e53e2b81f4b10d28583e762587280a2537fec8f75af54bd98a0ef2650c254ec5,67ea268181035eb07aed66f2cb93dd58bfe61f84dd993db90d933c7678e8f812,8136,User2,arm64,DESKTOP-XYZ,"May 21, 2025 @ 11:56:51.416"
added,D:\Work\soon.csv,"archive,hidden,system","mtime,mode",1120554,889776,"May 25, 2025 @ 04:07:23","May 25, 2025 @ 04:18:26",e90d20c156d422c84bf2508083cb2d6ac6e2c42d4b385d665bddcabb821867ff,aafc4661aece87d2a3bb3efdae05c4ddebebe47e5288cf9fc4f25394019c3421,3817,Admin,AMD64,WORKSTATION-01,"May 31, 2025 @ 09:02:26.831"
added,C:\Users\User1\Downloads\officer.bat,"exec,read","mode,group",1934476,2420979,"May 26, 2025 @ 06:51:25","May 26, 2025 @ 07:11:39",8fd3d917f71b50a3114bb7e044cb845e7a67f8da6a56e31238a55880003bc26a,c7c83926c707d109d9283bfbe4864116,4815,Project,AMD64,DESKTOP-ALPHA,"May 30, 2025 @ 10:17:41.851"
deleted,C:\ProgramData\everybody.docx,"write,system","group,mtime",1437721,1702818,"May 17, 2025 @ 22:15:23","May 17, 2025 @ 22:34:44",c0bfc383592e011ddfc228174313996ad67630fbdfa595a31895ad288f679583,247e97d0207a71ea51b8ab5875d671e1,5000,System,arm64,HOME-PC,"May 11, 2025 @ 03:23:40.649"
deleted,C:\Users\User1\Downloads\east.pptx,"exec,archive",group,1383709,1251129,"May 29, 2025 @ 05:17:39","May 29, 2025 @ 05:22:31",cdd272347d0f2a1d0e825f21fc54843d6db6adcd2b6ef040ac4cbcfc1abc499e,cfd40628f2869a9b43c6cb6396e0a1e55ac89c1ff6d936d700c36b14dea92ee1,4389,User6,AMD64,DESKTOP-XYZ,"May 21, 2025 @ 09:21:22.237"
modified,C:\Windows\System32\south.dll,"exec,hidden,read",mode,1524622,1577402,"May 07, 2025 @ 01:51:38","May 07, 2025 @ 01:57:44",515aaa03893c4b9ccb35b97a387a864046d8e9b4b7571531379c11398b1d4194,9cf20e7cc1fb89f44ad4ed5abe3f72324df72810646133c6decc38c99728f3e1,1916,Project,x86_64,HOME-PC,"May 28, 2025 @ 02:55:03.801"
modified,E:\Data\international.pptx,"system,write",mtime,832221,1030882,"May 09, 2025 @ 10:02:35","May 09, 2025 @ 10:48:52",0bbd7c3c1509fe0674d7f801dfdbeaaed780d5b7636034bd971f87a963566d3b,3bcd59b9d99cf69b733150c0960996c4f0abcbd0fd3251ccc2556735e5386543,8597,User2,arm64,WORKSTATION-01,"May 25, 2025 @ 02:59:32.217"
deleted,C:\Users\User2\Desktop\popular.dll,"read,exec,hidden",owner,297447,749194,"May 28, 2025 @ 07:35:57","May 28, 2025 @ 08:16:31",a7bc4bbca70ae0f9434c15f6d3165b8eabf2489962e66f23071b30c9db328ca8,2ec6173904d022d2c37f7af6d1098a092b3e44c93ee89159114a9a593d2ac956,1496,Project,x86_64,SERVER-BETA,"May 30, 2025 @ 08:00:53.734"
added,E:\Data\say.docx,"archive,exec",mode,1314847,1236499,"May 22, 2025 @ 00:26:26","May 22, 2025 @ 01:02:24",5254a69b038aeae4f3965f420b12685a78b919b707303ef5bd78c63564f61e1f,e55f6e6dbd3304c9e5671622caea6e8c,8491,User1,arm64,DESKTOP-5JEIKFF,"May 14, 2025 @ 19:17:32.980"
modified,D:\Work\property.exe,"hidden,exec,read,archive",mtime,612959,853669,"May 05, 2025 @ 11:17:11","May 05, 2025 @ 11:41:33",8aac5188fbafd60fc91358c32b39e838db2da6be676522019f03286c0388bbca,bf86ffd2a25122103000058fcc8a65bacf790cf54558f7429dd6a99b348bb17d,4935,User3,AMD64,DESKTOP-ALPHA,"May 24, 2025 @ 20:50:48.153"
added,C:\Windows\System32\tax.pptx,"read,system",size,153411,192557,"May 08, 2025 @ 10:48:56","May 08, 2025 @ 11:34:45",44d8a790c042966081fa95632bf7c326,dc69e11f72daca570c8ed29092e256d17553f9fd2e701239f5d35767c4d64cb3,9083,User2,x86,SERVER-001,"May 04, 2025 @ 23:26:54.722"
added,C:\ProgramData\fish.bat,"system,exec,read",mtime,1282418,1715225,"May 24, 2025 @ 07:16:53","May 24, 2025 @ 07:30:39",dd6d40cb3d97cb2f68f9ed5a6a9120e3,40fc2e9a67d005413403ea87c463cefa2bceae8b9d10be3ef919a9f9639442db,8894,Admin,x86,WORKSTATION-01,"May 16, 2025 @ 11:48:50.029"
added,C:\Users\User2\Desktop\agree.docx,"read,hidden",size,1871036,2179617,"May 30, 2025 @ 09:23:46","May 30, 2025 @ 09:43:53",f2559a6574b1afcda4619d63c1853da4,3568220f7e8c747edd8f859d32b85b4ced2447713f7b8dcdde77bfce93b46140,8694,User1,x86_64,LAPTOP-1234,"May 21, 2025 @ 10:37:13.749"
added,D:\Work\style.pptx,"system,write,archive,exec",mode,996928,1215540,"May 10, 2025 @ 02:40:37","May 10, 2025 @ 03:12:58",9d56fc2b93c15ee18c53f74d95088c9620a33b7a130f1aed1a5d714069491ead,e671bf4ef66478cd03d89d941a9f9d02ed8234ffd6eea7ff4bfc0f713695579c,6122,Project,x86_64,PC-GAMER,"May 11, 2025 @ 10:12:23.654"
modified,C:\Users\Guest\Documents\adult.exe,"system,exec,read","size,mode",1702776,1847562,"May 25, 2025 @ 02:18:21","May 25, 2025 @ 02:32:58",1eb899baa2f1cd01314f54bc54a88acd000e3ee49779c53d732c2a719560b136,97069927794bb454badbab607670348787761419dea5b17cd272d2f6244a5046,5531,Guest,x86_64,DESKTOP-5JEIKFF,"May 11, 2025 @ 08:12:11.427"
deleted,C:\Users\Public\Videos\later.txt,"write,read,exec","size,owner",1150194,1562270,"May 28, 2025 @ 20:31:13","May 28, 2025 @ 20:39:42",515faa70700d66dc44f738d6b22e44a922d388d8382c69aba76c7ceab2996003,6c13d598cad68227dbb4c740b5677720,8803,User1,x86,DESKTOP-ALPHA,"May 02, 2025 @ 11:10:27.613"
modified,C:\Users\Public\Videos\seat.csv,"exec,hidden,system,write","owner,mtime",610886,724486,"May 31, 2025 @ 01:16:43","May 31, 2025 @ 02:10:42",a7f9018da89f733c257fda67e73ce2b764ab191fbfec46550878dc2e8ddcb9d0,d92f4728797cf0ba3e40ba7e338c61de1a9448077753a722c28c119be6e35066,4059,User4,x86,WORKSTATION-01,"May 07, 2025 @ 02:28:09.400"
added,C:\Users\Public\Videos\because.pptx,"system,read,archive","size,mtime",199644,263651,"May 10, 2025 @ 04:23:46","May 10, 2025 @ 04:27:27",42666d2412c52038f6639cc16bdc8e8145872d8262d546cb961aa545d26b72eb,0dc9e351925dcf146aae749b5353548c2dec7ba13997bb89d6d7277ec851d32f,7756,User1,x86_64,DESKTOP-5JEIKFF,"May 06, 2025 @ 05:11:09.256"
added,C:\Users\User1\Downloads\seek.txt,"archive,hidden",group,284513,609310,"May 27, 2025 @ 23:17:47","May 27, 2025 @ 23:59:13",f1253dbac4525147b481fe680a12b30fb0632e9ad3d007dbeabde94fb45b8c36,e242a16d0e5734c2c979fc9d4f7c4f03d95383babd785ac9c67ace1c509c5a42,7433,User4,x86,DESKTOP-XYZ,"May 14, 2025 @ 09:54:04.167"
modified,C:\Users\User1\Downloads\movement.dll,"read,write","mtime,size",1350375,911778,"May 09, 2025 @ 11:29:41","May 09, 2025 @ 11:40:06",aca7ec725cf2474197073434d02fb364d21debddc7d00a6f21a8a4b83c921beb,aa0164e6ed58777074a8882232513de828f62fbc8b41218d391416bba00f6c6d,7501,Guest,x86,DESKTOP-5JEIKFF,"May 21, 2025 @ 06:25:58.387"
modified,D:\Work\across.pptx,"hidden,system,read,archive","mtime,mode",340727,83811,"May 26, 2025 @ 17:03:04","May 26, 2025 @ 17:45:07",8a885d1ab0ca61a13346009d8fa81b137615a7c6cf047130b5ebb12cea04c34a,33dd36bbb4798d8297f5dfde103191189e6c461086e84639d096f00fafa00f29,3284,User2,arm64,DESKTOP-ALPHA,"May 22, 2025 @ 08:11:09.141"
modified,C:\ProgramData\present.csv,"archive,read,hidden,system","owner,group",1976457,2007451,"May 30, 2025 @ 01:38:32","May 30, 2025 @ 02:31:48",02c521bc0bd30217fd14e1fd36441add9c23d1af39d7bb7aaef8a5313b8e77a5,6bfa016538349c0c8614b5225b1904f1cd8680ad6aaaaaa8803bdd816f7d31ca,5535,User3,x86,PC-GAMER,"May 03, 2025 @ 11:31:41.071"
modified,C:\Users\Project\Documents\carry.csv,"archive,system",mode,359276,491812,"May 27, 2025 @ 14:33:11","May 27, 2025 @ 15:28:51",ec99b4f0019c0900b61822d8d3f944112392e2a8fbc4717bc0b0dcfdf7ea8c72,61ff69de4e1e448ded6fff83e61734da6e10d1846a98967a36a6004a730e1200,9831,Admin,arm64,SERVER-001,"May 23, 2025 @ 01:22:04.054"
deleted,C:\Users\Project\Documents\maintain.bat,"write,exec,system,read",group,1989882,2455974,"May 18, 2025 @ 20:07:35","May 18, 2025 @ 20:12:27",e15147b430d88b935f8dfaacc212f64d1d86d0716563d20fc0d30f8370f6efc9,1a27c0b742c2d783ea70c82a0dc4f6fa07d57c93743d68185c037b2ae9c9c54e,5651,System,x86,DESKTOP-5JEIKFF,"May 14, 2025 @ 20:50:44.509"
added,D:\Work\sign.bat,"archive,exec",group,989794,1386998,"May 03, 2025 @ 07:49:23","May 03, 2025 @ 08:31:50",deb8f1ba4d12c78555966228794e9fdb9cbb4b54db07072a492e913904cbc75c,5e51dc1d8d7178526ccdb1947afec1df28120f49138bdd44df5c2f29ab2ea015,1007,Project,x86_64,DESKTOP-5JEIKFF,"May 18, 2025 @ 17:19:39.857"
deleted,C:\Windows\System32\attorney.pptx,"read,system,hidden","size,group",1991036,2230343,"May 03, 2025 @ 17:17:14","May 03, 2025 @ 17:21:39",5cf4fcd91763b36c2194fb6ad962d7e7c30267f143dbb7c2c36f671a05a8b065,7e31c2fa0e76f240163391bfd7dd532a09f3b0bc524f7e1a429df433b1a61bb5,9522,Project,x86_64,PC-GAMER,"May 19, 2025 @ 14:28:38.292"
deleted,C:\Windows\System32\nothing.jpg,"exec,archive,hidden","size,group",186749,1,"May 08, 2025 @ 09:48:40","May 08, 2025 @ 10:43:28",5917d14ebadc8726958da2290d206cfd31f8523a5759f6f11bc084a0b21394d1,77c9959a676cb1c9c1db709ec70e19b641453faff5ecc58d3cf5cca0365323e5,2543,User5,arm64,SERVER-BETA,"May 30, 2025 @ 02:40:56.498"
added,C:\Users\Public\Videos\line.docx,"hidden,system,exec,archive","owner,group",1556819,1819083,"May 22, 2025 @ 10:43:46","May 22, 2025 @ 11:14:39",ab6f5b04a8a341620c42cf4cc22863a6,4fd7d6548c2517eb4cd4dff353ee4640,8927,Project,x86_64,PC-GAMER,"May 20, 2025 @ 11:45:44.287"
modified,E:\Data\something.jpg,"archive,system,exec,read","mode,mtime",1559745,1850417,"May 06, 2025 @ 00:25:37","May 06, 2025 @ 01:09:36",30a43d83b6b20dfbfbe4ded3fce2406fef0b70f376b11a348ebee487886a9408,07d60dd701cd435833f41924c059d7f99bbbea43f52e2f61e6c0109907d300ac,8398,User5,arm64,SERVER-001,"May 17, 2025 @ 17:04:33.720"
modified,C:\Users\Project\Documents\edge.pdf,"read,exec","mtime,size",218348,467232,"May 23, 2025 @ 00:31:04","May 23, 2025 @ 01:16:37",ddc043d92fffa4f004ae26ac568da020a78ae1d2f017f45964715c9c6e385441,3c2fd7469a52b23a45cf3595199d1dc8065dd2f1108d615687c3936c55a92199,5734,User5,x86_64,WORKSTATION-01,"May 23, 2025 @ 05:22:05.870"
deleted,C:\ProgramData\movie.docx,"exec,archive,hidden,system",owner,1756838,1302534,"May 28, 2025 @ 06:28:20","May 28, 2025 @ 06:29:05",59373b687d438620e5cf7963e4f1294553a7726442f0de9ba75323e45295eb40,742392d54c022767bbe853d3acb63a5495107b8376fea8a4725c67b37f466aec,2524,System,x86_64,WORKSTATION-01,"May 07, 2025 @ 03:52:30.837"
modified,E:\Data\money.pptx,"hidden,exec,read",size,1840112,1859608,"May 16, 2025 @ 00:07:42","May 16, 2025 @ 00:16:40",1e75e1dd73e0d561125b5f37e7a14bfd,6598b880a603d827424735c1ae48c6e0,9446,User3,x86_64,DESKTOP-ALPHA,"May 16, 2025 @ 00:52:25.114"
deleted,C:\Users\Project\Documents\benefit.txt,"system,archive,exec","group,mtime",817922,796841,"May 09, 2025 @ 10:45:04","May 09, 2025 @ 11:39:12",bfbb923f25ae04012d2f65c76c0accd4fe1e02042b34768d77590bb6abf0231d,89967ddda6f4e0109945ed7e45f0b328606deb6111e1fa8e9e04c0db7f82806a,8483,User3,arm64,DESKTOP-XYZ,"May 18, 2025 @ 04:08:00.354"
deleted,C:\Windows\Temp\send.bat,"hidden,system",mtime,837011,965836,"May 25, 2025 @ 16:32:36","May 25, 2025 @ 17:00:50",c2116673ce930dee77b6f78721cd3bc5,01897c9db7780004f05be532951df64d9c33954245e479e8423e653715d98ed5,7667,Project,x86,SERVER-BETA,"May 24, 2025 @ 08:10:52.989"
modified,C:\ProgramData\kid.xlsx,"archive,hidden,read","mtime,mode",384308,713451,"May 10, 2025 @ 09:40:34","May 10, 2025 @ 10:16:10",5d56ffd4dde493a8527763e49c1a1a87,707ae6119f8471914c91dea941128901,6395,Project,x86_64,DESKTOP-5JEIKFF,"May 05, 2025 @ 20:14:57.295"
added,C:\Users\Public\Videos\difficult.txt,"system,archive",group,610487,148884,"May 12, 2025 @ 11:22:44","May 12, 2025 @ 11:23:43",771facf8b088574d5b728164387f7007146f3f9e422d48ab230335fa7d828758,bad87538ea5044a1edd22a5613aa3715b677af4f49f04b6c97066012d67caccd,3044,User3,AMD64,DESKTOP-5JEIKFF,"May 28, 2025 @ 04:41:23.488"
modified,D:\Work\performance.xlsx,"archive,read,system",mode,1332064,1658163,"May 28, 2025 @ 11:32:19","May 28, 2025 @ 12:31:00",3b65767cbc2f437564fc4060d21d70c2b3e62c5930544d6d1df977b44d4db62a,1a20ecc947582d9ff1114ef999cef791,4301,User3,x86,SERVER-001,"May 25, 2025 @ 06:50:56.734"
added,D:\Work\then.dll,"hidden,archive","mtime,group",1779952,1675478,"May 24, 2025 @ 05:17:58","May 24, 2025 @ 05:42:40",1d28e555c6edf8d412f02b46de5080ba73a3fa6be177c451d7e858b02cb34210,462c6ed9b96d5a41041be5e8a1c1ba802cd3584c97792632cb6509805d526ef7,1689,System,arm64,HOME-PC,"May 02, 2025 @ 12:58:08.153"
deleted,C:\Users\Guest\Documents\his.zip,"system,write,read",owner,109940,1,"May 08, 2025 @ 01:20:09","May 08, 2025 @ 02:02:29",1f800b8267aae32662b8c5722727c7ac,f216d004fb3dedf100a5c8318198cc1beabaaad43f77f067101826afbc682099,3714,Guest,AMD64,WIN-LAPTOP,"May 05, 2025 @ 06:40:50.769"
added,C:\Windows\Temp\arrive.jpg,"write,hidden,read",group,310712,554957,"May 21, 2025 @ 18:51:18","May 21, 2025 @ 19:03:26",6e485cecd6a8031dde0cbb39c46d68acb3ec86a3eba2c91c497315c54b181442,8197a7a408a7c26174ec52a53540ccb697af12319c8d78eb16173d56b3cc485b,5221,Guest,arm64,PC-GAMER,"May 21, 2025 @ 01:46:37.432"
deleted,C:\Users\Project\Documents\grow.csv,"archive,read,system,write",mtime,1303673,1211182,"May 28, 2025 @ 20:05:55","May 28, 2025 @ 21:00:30",918ccf8a0b943c2a7ab332deb7e034c6cf383089f89ec5dfb098df378c5af293,803fbe324b8d3672c7e62b0ebfe9801918e30ae84e1d87219c6e6876f03ab572,5108,User3,arm64,SERVER-BETA,"May 19, 2025 @ 08:49:17.107"
modified,C:\Windows\Temp\evidence.pptx,"hidden,write,read","mode,group",613722,240269,"May 03, 2025 @ 19:41:22","May 03, 2025 @ 20:07:27",b857687744052cc187f50247356ca53ca8526f57409a11e23b964fcc9bff739e,4e975ca3ae4a395eea0eec9cb13ba4f0feb8ec9e48ed816f0ce7c0b0f7771f42,1071,User2,arm64,PC-GAMER,"May 22, 2025 @ 04:06:25.480"
added,C:\Users\Project\Documents\argue.xlsx,"exec,hidden,write",mode,1749848,1940380,"May 27, 2025 @ 07:34:19","May 27, 2025 @ 07:44:43",d9b5d3c8976949b49aeaf4d6afb0dfebe55e32ff9867686bb83a00917931c1bc,e26dd16df0d6c552906a88997e6bfc7bc8fbcf18a0bbdbf211b884656425e5e7,7061,User4,x86_64,SERVER-001,"May 17, 2025 @ 17:46:14.350"
modified,C:\Users\Project\Documents\doctor.exe,"read,system,hidden","owner,mtime",503121,592523,"May 18, 2025 @ 12:28:20","May 18, 2025 @ 12:35:32",90cace16b870a04d5f61ccabfec0686303f28315401c206d46cc172268177de9,ae2de135c8b01b46bf24492fdaf2a422f0b0c5fd35185d2f8f34b67cb911bf15,4027,Admin,x86,HOME-PC,"May 24, 2025 @ 18:19:17.256"
modified,C:\Users\Project\Documents\image.jpg,"exec,write,hidden","mtime,group",1023650,692356,"May 02, 2025 @ 14:33:22","May 02, 2025 @ 14:40:35",2750261c3bf0a826d179a67257207800a6f4296250172d4d75bedab3cf57193b,85e9d130394be83172733fc493265056accee452d4b761a34383f15c938ef7ee,8694,Guest,x86_64,LAPTOP-1234,"May 26, 2025 @ 08:22:20.906"
modified,C:\Users\Public\Videos\just.txt,"write,archive,system","size,owner",994259,1273761,"May 14, 2025 @ 12:02:29","May 14, 2025 @ 12:28:26",fee85f18e6920bfc582a2d1171473cb146f3da9774e81d98a1f08a5a6ca4edd0,83f46371be93eb88d4e6d5ac5d44fa6447270f2f94f3c19df393918da975fac6,2087,User5,arm64,WORKSTATION-01,"May 19, 2025 @ 09:11:16.186"
added,E:\Data\I.docx,"hidden,write,archive,exec","owner,group",590579,644395,"May 31, 2025 @ 00:55:35","May 31, 2025 @ 00:57:07",6d3b0e5bec8c04ac57786e8fcb779954a71b2ede374881ff5af4d2e92021c0fc,5fc6225efca410bd87ae887c6ac0ff2a33dec2d0697c212eeb7520ca83af7b3e,2370,Guest,arm64,WORKSTATION-01,"May 11, 2025 @ 14:20:54.580"
added,C:\Windows\System32\sea.pdf,"exec,hidden,write",owner,899184,777855,"May 14, 2025 @ 23:28:34","May 15, 2025 @ 00:21:51",e6f2f8bd5132e12a491f53ec9b1a0950481b41ecdfe1bdecf181c00bc8402168,671af005063b9a9951f8a00cad64657e7526415d887c6fb43d3c0c4a18bafef2,3579,Project,x86,WORKSTATION-01,"May 16, 2025 @ 21:07:18.868"
modified,C:\Windows\System32\possible.dll,"archive,read,hidden,exec","size,mtime",1601633,1436611,"May 30, 2025 @ 20:15:59","May 30, 2025 @ 20:17:57",bdf0ef7e527dca44218adc86236998b3f49ae04884e4ca4a25da8187d11edfdb,ffd659fb218ae7771a8a8f3e09aa88db4fe364291a7d486a0baf5a983978b574,2749,Admin,x86,SERVER-001,"May 12, 2025 @ 09:35:42.973"
added,D:\Work\point.xlsx,"archive,exec","mode,mtime",1073637,727302,"May 06, 2025 @ 14:55:09","May 06, 2025 @ 15:42:59",1b0da55224beb8e4a01d11441f56716c681a9bdcf300678b2140dde2668c67af,e3b5faad83fe07cca25a04bbcae36e4d,2204,User3,x86,WORKSTATION-01,"May 23, 2025 @ 00:14:05.865"
deleted,C:\Windows\System32\role.dll,"system,archive,hidden","group,owner",1001157,885412,"May 08, 2025 @ 22:21:56","May 08, 2025 @ 23:13:35",6a1eb3be41020b7c5318df94a6ea1163d98de109c69f8c386c86eab91c1c5486,56a0c1a2f3bd8ee6e4d387fe6c8b2ecc5d9d1eced62917c4d287451a6e6dec55,1268,System,arm64,DESKTOP-XYZ,"May 08, 2025 @ 21:31:03.778"
deleted,E:\Data\land.exe,"system,archive","group,mode",1097428,1418818,"May 25, 2025 @ 05:28:05","May 25, 2025 @ 06:00:43",603c89f8a7550dbaec4f2b42ccc59984c1e7ca42cab84263a5a47c72f8940608,66bd6b820bae425bad612cc5a460d215d07f069a5c3f39825d955ccb327ca734,1142,User2,AMD64,DESKTOP-ALPHA,"May 14, 2025 @ 04:30:28.133"
deleted,D:\Work\any.xlsx,"write,hidden","group,owner",1375841,1529264,"May 24, 2025 @ 15:36:38","May 24, 2025 @ 16:35:48",1be7f4cc07e1599bfb51b8c167656b981874586f9d3d48270fc232e9a9fa2e99,194e69754207ff99df1155d074634c72,2718,User5,arm64,SERVER-BETA,"May 07, 2025 @ 14:04:04.169"
modified,C:\Users\User1\Downloads\past.exe,"write,read","mode,owner",345171,388257,"May 04, 2025 @ 06:59:13","May 04, 2025 @ 07:28:57",5fe498de7a1bb027de0198f031a8895a212058229bac729226c1b00fd0c07ebb,428deb6bac57f90f346363077c85ff06713e8e81e2542a3c17a6dd64c9e32b68,5133,User4,x86_64,HOME-PC,"May 23, 2025 @ 05:51:02.787"
modified,C:\ProgramData\sea.xlsx,"hidden,system,exec,read","mtime,mode",727561,267769,"May 25, 2025 @ 17:40:19","May 25, 2025 @ 17:49:13",72696c355e16e6b535476d7a599c74ca,2d834ff09e88d2274a6496851469b18618efe162d00bab0e956843e8e59c1dc3,7882,Admin,x86,SERVER-001,"May 16, 2025 @ 22:31:36.093"
modified,C:\Users\Public\Videos\customer.bat,"exec,hidden,write,system","mode,group",793931,1268370,"May 06, 2025 @ 09:06:39","May 06, 2025 @ 09:40:49",fbb261263ad0d3d5aa2913e356e1dc59b395a3a811531636cbe189ccacdac043,170e9ca0c31adead6d3ede66e19a5bbf2a4479f8302dae49b4f16db544fc7b17,5973,User1,arm64,SERVER-BETA,"May 03, 2025 @ 23:57:42.220"
